State.healthy 	 State.sick 	 State.dead 	 State.immune 	 
111303 	 2913 	 462869 	 463315 	 
109326 	 2826 	 463886 	 464362 	 
107410 	 2748 	 464891 	 465351 	 
105598 	 2674 	 465810 	 466318 	 
103755 	 2639 	 466739 	 467267 	 
102049 	 2509 	 467650 	 468192 	 
100324 	 2491 	 468494 	 469091 	 
98667 	 2419 	 469368 	 469946 	 
97037 	 2324 	 470260 	 470779 	 
95426 	 2309 	 471038 	 471627 	 
93985 	 2138 	 471879 	 472398 	 
92436 	 2208 	 472620 	 473136 	 
90909 	 2190 	 473373 	 473928 	 
89478 	 2138 	 474136 	 474648 	 
88003 	 2133 	 474872 	 475392 	 
86584 	 2082 	 475593 	 476141 	 
85152 	 2062 	 476329 	 476857 	 
83807 	 1976 	 477030 	 477587 	 
82452 	 1926 	 477731 	 478291 	 
81172 	 1856 	 478397 	 478975 	 
79900 	 1833 	 479021 	 479646 	 
78645 	 1783 	 479676 	 480296 	 
77432 	 1752 	 480322 	 480894 	 
76235 	 1709 	 480941 	 481515 	 
75039 	 1699 	 481552 	 482110 	 
73888 	 1654 	 482148 	 482710 	 
72758 	 1615 	 482754 	 483273 	 
71679 	 1563 	 483340 	 483818 	 
70589 	 1540 	 483926 	 484345 	 
69484 	 1570 	 484439 	 484907 	 
68448 	 1498 	 485010 	 485444 	 
67436 	 1438 	 485546 	 485980 	 
66395 	 1438 	 486074 	 486493 	 
65428 	 1370 	 486584 	 487018 	 
64472 	 1366 	 487089 	 487473 	 
63526 	 1337 	 487567 	 487970 	 
62569 	 1374 	 488040 	 488417 	 
61663 	 1347 	 488505 	 488885 	 
60751 	 1354 	 488954 	 489341 	 
59858 	 1293 	 489415 	 489834 	 
59000 	 1250 	 489879 	 490271 	 
58145 	 1232 	 490323 	 490700 	 
57323 	 1174 	 490786 	 491117 	 
56490 	 1192 	 491201 	 491517 	 
55689 	 1149 	 491630 	 491932 	 
54910 	 1149 	 492025 	 492316 	 
54139 	 1114 	 492414 	 492733 	 
53401 	 1066 	 492803 	 493130 	 
52676 	 1059 	 493169 	 493496 	 
51965 	 1000 	 493562 	 493873 	 
51255 	 1009 	 493906 	 494230 	 
50623 	 956 	 494253 	 494568 	 
49953 	 940 	 494596 	 494911 	 
49285 	 967 	 494918 	 495230 	 
48616 	 960 	 495288 	 495536 	 
47981 	 939 	 495654 	 495826 	 
47373 	 905 	 495978 	 496144 	 
46773 	 864 	 496329 	 496434 	 
46220 	 815 	 496623 	 496742 	 
45656 	 800 	 496928 	 497016 	 
45110 	 790 	 497208 	 497292 	 
44558 	 774 	 497500 	 497568 	 
44014 	 784 	 497770 	 497832 	 
43501 	 772 	 498033 	 498094 	 
42994 	 746 	 498307 	 498353 	 
42503 	 711 	 498556 	 498630 	 
42034 	 674 	 498818 	 498874 	 
41559 	 659 	 499047 	 499135 	 
41106 	 633 	 499292 	 499369 	 
40643 	 643 	 499515 	 499599 	 
40228 	 594 	 499754 	 499824 	 
39827 	 567 	 499962 	 500044 	 
39406 	 584 	 500166 	 500244 	 
39009 	 577 	 500368 	 500446 	 
38629 	 558 	 500574 	 500639 	 
38262 	 538 	 500761 	 500839 	 
37888 	 532 	 500945 	 501035 	 
37534 	 520 	 501132 	 501214 	 
37180 	 517 	 501320 	 501383 	 
36862 	 475 	 501507 	 501556 	 
36553 	 471 	 501659 	 501717 	 
36262 	 439 	 501813 	 501886 	 
35974 	 437 	 501968 	 502021 	 
35699 	 410 	 502127 	 502164 	 
35413 	 410 	 502288 	 502289 	 
35153 	 376 	 502413 	 502458 	 
34876 	 385 	 502549 	 502590 	 
34632 	 352 	 502703 	 502713 	 
34404 	 324 	 502838 	 502834 	 
34180 	 316 	 502958 	 502946 	 
33975 	 308 	 503069 	 503048 	 
33771 	 282 	 503181 	 503166 	 
33572 	 269 	 503291 	 503268 	 
33416 	 242 	 503389 	 503353 	 
33248 	 249 	 503462 	 503441 	 
33093 	 233 	 503547 	 503527 	 
32954 	 204 	 503631 	 503611 	 
32828 	 186 	 503703 	 503683 	 
32710 	 176 	 503759 	 503755 	 
32608 	 159 	 503809 	 503824 	 
32484 	 169 	 503864 	 503883 	 
32363 	 159 	 503926 	 503952 	 
32286 	 128 	 503980 	 504006 	 
32214 	 109 	 504025 	 504052 	 
32149 	 95 	 504068 	 504088 	 
32091 	 85 	 504109 	 504115 	 
32044 	 72 	 504145 	 504139 	 
32006 	 60 	 504174 	 504160 	 
31980 	 47 	 504193 	 504180 	 
31963 	 27 	 504220 	 504190 	 
31939 	 30 	 504233 	 504198 	 
31940 	 9 	 504243 	 504208 	 
31934 	 8 	 504247 	 504211 	 
31930 	 8 	 504250 	 504212 	 
31930 	 3 	 504253 	 504214 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
